,UTC,ALT,H2P,H3P,O2P,E
0,165200,0.259,0.000860998631132435,0.2635338144121877,41996.071015835056,2248.286682067181
1,165200,18.0,0.0,0.0,19774.10440546622,2133.980552661039
2,165200,41.0,0.0,0.0,8827.774566748703,1994.3974625165224
3,165200,60.2,0.0,0.0,4621.19527975491,1884.893635819386
4,165200,81.2,0.0,0.0,2338.5346109069014,1771.9961629537622
5,165200,101.0,0.0,0.0,1242.9481951033524,1671.7506866463207
6,165200,121.0,0.0,0.0,629.6697143460913,1576.2488256597624
7,165200,140.0,0.0,0.0,345.67623459249756,1490.5803046363342
8,165200,159.0,0.0,0.0,209.81751646989918,1391.8787671062908
9,165200,179.0,0.0,0.0,100.17557323001161,1270.9254992228264
10,165200,202.0,0.0,0.0,62.74946829268623,1144.7656230980065
11,165200,221.0,0.0,0.0,41.504872000995135,1050.0484266292654
12,165200,241.0,0.0,0.0,12.396439406220914,958.7999704862449
13,165200,261.0,0.0,0.0,6.253120861124296,875.4809398224022
14,165200,282.0,0.0,0.0,3.7743977598150313,795.7768723363384
15,165200,302.0,0.0,0.0,3.303050791645042,726.624432131169
16,165200,318.0,0.0,0.0,3.3523527827141804,675.6549196243108
17,165200,339.0,0.0,0.0,3.3686264355519886,614.1430775481696
18,165200,361.0,0.0,0.0,3.408970705157228,555.6996365933439
19,165200,382.0,0.0,0.0,3.972068328300935,505.1085622222652
20,165200,399.0,0.0,0.0,3.9617288704295808,467.54736242462974
21,165200,417.0,0.0,0.0,4.013159784044981,430.81659753420706
22,165200,439.0,0.0,0.0,3.951362357579864,389.818977759889
23,165200,462.0,0.0,0.0,2.939492425526386,351.1231502110949
24,165200,481.0,0.0,0.0,2.801365349503278,322.0714388981144
25,165200,501.0,0.0,0.0,3.641662327364114,294.0836615519272
26,165200,522.0,0.0,0.0,3.1936198577403827,267.31019003393106
27,165200,540.0,0.0,0.0,3.4169823982403345,246.31016194686578
28,165200,562.0,0.8523400884833892,0.2700168185593987,3.4094275441541555,222.87065097202105
29,165200,581.0,1.4659465228931106,0.342135701020904,3.402008668751113,204.43047176913296
30,165200,601.0,2.0114564391629903,0.4634413903054792,3.394998723334018,186.66561020231615
31,165200,621.0,2.482302231850607,0.6184185751895043,3.3887447046186745,170.44450238100038
32,165200,640.0,2.868235586643503,0.7886885284318589,3.382262226808391,156.34203014275448
33,165200,661.0,3.238274681120582,0.9918583539966692,3.3761836029904626,142.10860123003116
34,165200,682.0,3.5571234362696,1.2051915675511928,3.371053864830829,129.17098828201404
35,165200,701.0,3.812023928381823,1.4033294775518999,3.366007030265857,118.48346095912068
36,165200,721.0,4.049594666627395,1.6134951895417144,3.361021399863151,108.18733306937457
37,165200,742.0,4.2707324125669,1.8335063396575226,3.3565902466928454,98.33792332911462
38,165200,762.0,4.458158657980399,2.041019993975406,3.3531890517792347,89.79242822952475
39,165200,779.0,4.603107751845129,2.2150874383010803,3.349435950535115,83.11522734778656
40,165200,799.0,4.756388761802105,2.4152250712553798,3.3454010497580344,75.89257362522696
41,165200,822.0,4.912138835493401,2.6377726592963926,3.342353468410958,68.35901033358847
42,165200,841.0,5.029376003938848,2.8157135062507814,3.33993104166805,62.703028286667
43,165200,860.0,5.1365714324505625,2.9881947687396537,3.3368347160260825,57.51501868052531
44,165200,882.0,5.2484211120072946,3.1806808540552605,3.3342957693854,52.0417410011765
45,165200,902.0,5.340006300807823,3.348413992881528,3.33188749301545,47.51935098475025
46,165200,922.0,5.424751321120471,3.509268542636608,3.329658894539402,43.389953421443664
47,165200,942.0,5.502224786484999,3.663858675695007,3.327632623416087,39.619397548574206
48,165200,962.0,5.572695487176985,3.8116954870056388,3.3258048387121564,36.17650028027482
49,165200,983.0,5.640531024540803,3.9596562963403215,3.3244380065398516,32.88298001205111
50,165200,1000.0,5.692036417954443,4.074396824947373,3.322976763646229,30.4377152223586
51,165200,1020.0,5.748109545227924,4.2039398809234525,3.321656124169208,27.792699571531166
52,165200,1040.0,5.800053602213389,4.327982107261861,3.320369912243961,25.37753388618282
53,165200,1060.0,5.848237967030504,4.446660161924601,3.319176362136842,23.172244368950917
54,165200,1080.0,5.893244893003199,4.5602715100878415,3.31801098669069,21.158592931156708
55,165200,1100.0,5.935239037191483,4.669132296683555,3.316953742709022,19.319926360964004
56,165200,1120.0,5.974253700501911,4.773305384098189,3.3157977346230174,17.641038598716797
57,165200,1140.0,6.011158358740844,4.8731414058679325,3.3147205986082806,16.108044980451343
58,165200,1160.0,6.045671749511899,4.968995030102801,3.3137464266714245,14.708267409557024
59,165200,1180.0,6.078142418959659,5.060965492763804,3.3128442642330205,13.430129506937577
60,165200,1200.0,6.108535912072896,5.14915672602744,3.3120084017077907,12.263060872548246
61,165200,1220.0,6.137406232846444,5.23381790232121,3.3112490805435946,11.19740966653679
62,165200,1240.0,6.164331383996371,5.315060078172192,3.310639377830124,10.224362787020672
63,165200,1260.0,6.189975905494116,5.393005392834683,3.3099622551053027,10.0
64,165200,1280.0,6.213908225325641,5.467773041075946,3.309289995658586,10.0
65,165200,1300.0,6.236771730523037,5.539495066623487,3.3086222462567476,10.0
66,165200,1320.0,6.258348960342197,5.608433174669417,3.3079502646429977,10.0
67,165200,1340.0,6.278686946344278,5.67458460632792,3.307279925788043,10.0
68,165200,1360.0,6.297829349805739,5.737947782750976,3.306614956701139,10.0
69,165200,1380.0,6.316253154372437,5.7987957814231885,3.305951417509656,10.0
70,165200,1400.0,6.33372540284688,5.857395250897225,3.3052921611506356,10.0
