,UTC,ALT,H2P,H3P,O2P,E
0,165200,0.259,0.00015765540869119689,0.0028121166472177437,24470.951796810838,998.1517101952171
1,165200,18.0,0.0,0.0,15001.293970912997,879.350749407306
2,165200,41.0,0.0,0.0,9556.569829757877,746.1287229015829
3,165200,60.2,0.0,0.0,6676.096511453183,650.5090947233166
4,165200,81.2,0.0,0.0,4612.311204996137,559.8983665654021
5,165200,101.0,0.0,0.0,3282.289738738294,486.05739204385736
6,165200,121.0,0.0,0.0,2326.8125590913846,421.3524111730297
7,165200,140.0,0.0,0.0,1678.214296536914,367.87944117144235
8,165200,159.0,0.0,0.0,1235.2245185666648,321.1926160807867
9,165200,179.0,0.0,0.0,890.4874498438348,278.43478044337877
10,165200,202.0,0.0,0.0,600.780419407146,236.251788360476
11,165200,221.0,0.0,0.0,452.8552801286035,206.26955862396866
12,165200,241.0,0.0,0.0,328.22897387382943,178.81052176234286
13,165200,261.0,0.0,0.0,244.15018119563922,155.00688955857393
14,165200,282.0,0.0,0.0,162.69210666723183,133.41566624390262
15,165200,302.0,0.0,0.0,129.0438912344048,115.6550925472855
16,165200,318.0,0.0,0.0,102.33594188785372,103.16469662481963
17,165200,339.0,0.0,0.0,77.20706637210318,88.79467727045349
18,165200,361.0,0.0,0.0,56.5616063593455,75.88232995726563
19,165200,382.0,0.0,0.0,33.318989445376744,65.31252666393665
20,165200,399.0,0.0,0.0,38.319157061983354,57.84432087483846
21,165200,417.0,0.0,0.0,34.88259692348194,50.86544691024587
22,165200,439.0,0.0,0.0,20.85102294971531,43.46869367080187
23,165200,462.0,0.0,0.0,11.360561666716308,36.883167401240016
24,165200,481.0,0.0,0.0,7.947577911541958,32.2024003005621
25,165200,501.0,0.0,0.0,6.593672406554291,27.915549139465877
26,165200,522.0,0.0,0.0,5.22650714257767,24.02713581062394
27,165200,540.0,0.0,0.0,4.868984061175919,21.12827988118328
28,165200,562.0,0.4174200882655466,0.0008088885428936465,4.868371891917377,18.05584697931995
29,165200,581.0,0.742804968563431,0.018326817794017198,4.867915192595271,15.764416484854486
30,165200,601.0,1.0539024617656316,0.049553341368167025,4.867669896207563,13.665824253177803
31,165200,621.0,1.3376208656762956,0.091680551561626,4.8673217019473975,11.846601026949864
32,165200,640.0,1.5804451428259796,0.13942183680700157,4.8670012636916296,10.343173196618249
33,165200,661.0,1.8355634712987061,0.2005308459434723,4.866748777847866,10.0
34,165200,682.0,2.069846022113824,0.2682245897364891,4.866473168565464,10.0
35,165200,701.0,2.266164724759125,0.33435782598334046,4.866197755910005,10.0
36,165200,721.0,2.458242275756247,0.4075920501384298,4.865897272011962,10.0
37,165200,742.0,2.6445898259835348,0.48749499188317014,4.865595692199312,10.0
38,165200,762.0,2.8097733317152978,0.5659333465807113,4.8652578251718746,10.0
39,165200,779.0,2.941735200483489,0.6342284445353095,4.864903944151906,10.0
40,165200,799.0,3.087218433391748,0.7154147109018714,4.864513638232245,10.0
